beta;m0;L;T;Nconf;mPS;Delta mPS;mV;Delta mV;mS;Delta mS;mAV;Delta mAV;meta';Delta meta';origin
6.9;-0.7;16;32;101;;;;;;;;;;;Graz
6.9;-0.75;16;32;151;;;;;;;;;;;Graz
6.9;-0.8;16;32;67;;;;;;;;;;;Graz
6.9;-0.85;16;32;100;0.8344;0.0011;0.9275;0.0017;1.52;0.04;1.561;0.029;;;2019Singlets
6.9;-0.87;12;24;400;0.7414;0.0015;0.8469;0.0036;;;;;0.782;0.013;Graz
6.9;-0.87;16;32;100;0.7406;0.00096;0.8452;0.0025;1.44;0.04;1.445;0.026;;;2019Singlets
6.9;-0.89;12;24;1019;0.6318;0.0012;0.751;0.003;;;;;0.661;0.009;Graz
6.9;-0.89;14;24;461;0.6295;0.0013;0.746;0.003;;;;;0.69;0.02;Graz
6.9;-0.89;16;32;100;0.6276;0.0014;0.7494;0.0025;1.15;0.05;1.315;0.024;;;2019Singlets
6.9;-0.9;12;24;2904;0.56409;0.00054;0.6956;0.0018;;;;;0.61;0.006;Graz
6.9;-0.9;14;24;942;0.56222;0.00063;0.6928;0.0022;;;;;0.619;0.016;Graz
6.9;-0.9;16;32;74;0.5625;0.0021;0.692;0.004;1.29;0.02;1.27;0.03;0.611;0.009;2019Singlets
6.9;-0.9;18;36;356;0.56121;0.00058;0.6898;0.0019;;;;;;;Graz
6.9;-0.905;14;24;267;;;;;;;;;;;Graz
6.9;-0.905;16;32;126;;;;;;;;;;;Graz
6.9;-0.908;16;32;242;;;;;;;;;;;Graz
6.9;-0.91;12;24;1268;0.492;0.001;0.6391;0.0062;;;;;;;Graz
6.9;-0.91;14;24;513;0.4857;0.0012;0.6262;0.0063;;;;;0.541;0.009;Graz
6.9;-0.91;16;32;183;0.4813;0.001;0.622;0.003;1.04;0.05;1.16;0.04;0.56;0.014;2019Singlets
6.9;-0.92;12;24;63;0.416;0.019;0.5629;0.0386;;;;;;;Graz
6.9;-0.92;14;24;550;0.3926;0.0014;0.5619;0.008;;;;;;;Graz
