name,tmin,tmax
"Lt24Ls14beta6.9m-0.92/p(0,0,1)",2,11
"Lt24Ls14beta6.9m-0.92/p(0,1,1)",2,11
"Lt32Ls16beta6.9m-0.92/p(0,0,1)",2,15
"Lt32Ls16beta6.9m-0.92/p(0,1,1)",2,15
"Lt32Ls16beta6.9m-0.92/p(1,1,0)",2,15
"Lt32Ls24beta6.9m-0.92/p(0,0,1)",2,15
"Lt32Ls24beta6.9m-0.92/p(1,1,0)",2,15
"Lt32Ls24beta6.9m-0.92/p(0,1,1)",2,15
"Lt36Ls24beta7.05m-0.863/p(0,0,1)",5,11
"Lt36Ls24beta7.05m-0.863/p(0,1,1)",5,12
"Lt36Ls24beta7.05m-0.863/p(1,1,1)",5,11
"Lt36Ls36beta7.05m-0.863/p(0,0,1)",5,13
"Lt36Ls36beta7.05m-0.863/p(0,1,1)",5,14
"Lt36Ls36beta7.05m-0.863/p(1,1,1)",5,12
"Lt36Ls24beta7.05m-0.867/p(0,0,1)",5,9
"Lt36Ls24beta7.05m-0.867/p(0,1,1)",5,10
"Lt36Ls24beta7.05m-0.867/p(1,1,1)",5,10
"Lt36Ls36beta7.05m-0.867/p(0,0,1)",5,12
"Lt36Ls36beta7.05m-0.867/p(0,1,1)",5,12
"Lt36Ls36beta7.05m-0.867/p(1,1,1)",5,11
