ensPirrep;fit?

Lt24Ls14beta6.9m-0.92p(0,0,0)T1v1;False
Lt24Ls14beta6.9m-0.92p(0,0,1)A1lv0;False
Lt24Ls14beta6.9m-0.92p(0,0,1)A1lv1;False
Lt24Ls14beta6.9m-0.92p(0,0,1)Elv0;False
Lt24Ls14beta6.9m-0.92p(0,0,1)B1v0;False
Lt24Ls14beta6.9m-0.92p(0,1,1)A1lv0;False
Lt24Ls14beta6.9m-0.92p(0,1,1)A1lv1;True
Lt24Ls14beta6.9m-0.92p(0,1,1)Elv0;False
Lt24Ls14beta6.9m-0.92p(0,1,1)B1v0;False
Lt24Ls14beta6.9m-0.92p(1,1,1)A1lv0;False
Lt24Ls14beta6.9m-0.92p(1,1,1)A1lv1;False
Lt24Ls14beta6.9m-0.92p(1,1,1)Elv0;False
Lt24Ls14beta6.9m-0.92p(1,1,1)B1v0;False

Lt32Ls16beta6.9m-0.92p(0,0,0)T1v1;False
Lt32Ls16beta6.9m-0.92p(0,0,1)A1lv0;False
Lt32Ls16beta6.9m-0.92p(0,0,1)A1lv1;False
Lt32Ls16beta6.9m-0.92p(0,0,1)Elv0;False
Lt32Ls16beta6.9m-0.92p(0,0,1)B1v0;False
Lt32Ls16beta6.9m-0.92p(1,1,0)A1lv0;False
Lt32Ls16beta6.9m-0.92p(1,1,0)A1lv1;False
Lt32Ls16beta6.9m-0.92p(1,1,0)Elv0;False
Lt32Ls16beta6.9m-0.92p(1,1,0)B1v0;False
Lt32Ls16beta6.9m-0.92p(1,1,1)A1lv0;False
Lt32Ls16beta6.9m-0.92p(1,1,1)A1lv1;False
Lt32Ls16beta6.9m-0.92p(1,1,1)Elv0;False
Lt32Ls16beta6.9m-0.92p(1,1,1)B1v0;False

Lt32Ls24beta6.9m-0.92p(0,0,0)T1v1;False
Lt32Ls24beta6.9m-0.92p(0,0,1)A1lv0;False
Lt32Ls24beta6.9m-0.92p(0,0,1)A1lv1;True
Lt32Ls24beta6.9m-0.92p(0,0,1)Elv0;False
Lt32Ls24beta6.9m-0.92p(0,0,1)B1v0;False
Lt32Ls24beta6.9m-0.92p(1,1,0)A1lv0;False
Lt32Ls24beta6.9m-0.92p(1,1,0)A1lv1;True
Lt32Ls24beta6.9m-0.92p(1,1,0)Elv0;False
Lt32Ls24beta6.9m-0.92p(1,1,0)B1v0;False
Lt32Ls24beta6.9m-0.92p(1,1,1)A1lv0;False
Lt32Ls24beta6.9m-0.92p(1,1,1)A1lv1;True
Lt32Ls24beta6.9m-0.92p(1,1,1)Elv0;False
Lt32Ls24beta6.9m-0.92p(1,1,1)B1v0;False


Lt36Ls16beta7.05m-0.863p(0,0,0)T1v1;False
Lt36Ls16beta7.05m-0.863p(0,0,1)A1lv0;False
Lt36Ls16beta7.05m-0.863p(0,0,1)A1lv1;True
