name,p,irrep,tmin,tmax,Nmax
"Lt24Ls14beta6.9m-0.92","p(0,0,0)","T1",1,9,10
"Lt24Ls14beta6.9m-0.92","p(0,0,1)","E",1,9,10
"Lt24Ls14beta6.9m-0.92","p(0,1,1)","B1",1,9,10
"Lt32Ls16beta6.9m-0.92","p(0,0,0)","T1",1,12,10
"Lt32Ls16beta6.9m-0.92","p(0,0,1)","E",1,11,10
"Lt32Ls16beta6.9m-0.92","p(1,1,0)","B1",1,10,10
"Lt32Ls20beta6.9m-0.92","p(0,0,0)","T1",1,11,10
"Lt32Ls20beta6.9m-0.92","p(0,0,1)","E",1,12,10
"Lt32Ls20beta6.9m-0.92","p(0,1,1)","B1",1,11,10
"Lt32Ls20beta6.9m-0.92","p(1,1,1)","E",1,8,10
"Lt32Ls24beta6.9m-0.92","p(0,0,0)","T1",1,11,10
"Lt32Ls24beta6.9m-0.92","p(0,0,1)","E",1,11,10
"Lt32Ls24beta6.9m-0.92","p(1,1,0)","B1",1,12,10
"Lt32Ls24beta6.9m-0.92","p(1,1,1)","E",1,12,10
"Lt36Ls16beta7.05m-0.863","p(0,0,0)","T1",1,12,10
"Lt36Ls16beta7.05m-0.863","p(0,0,1)","E",1,13,10
"Lt36Ls16beta7.05m-0.867","p(0,0,0)","T1",1,13,10
"Lt36Ls16beta7.05m-0.867","p(0,0,1)","E",1,10,10
"Lt36Ls20beta7.05m-0.863","p(0,0,0)","T1",1,13,10
"Lt36Ls20beta7.05m-0.863","p(0,0,1)","E",1,13,10
"Lt36Ls20beta7.05m-0.863","p(0,1,1)","B1",1,13,10
"Lt36Ls20beta7.05m-0.863","p(1,1,1)","E",1,9,10
"Lt36Ls24beta7.05m-0.863","p(0,0,0)","T1",1,11,10
"Lt36Ls24beta7.05m-0.863","p(0,0,1)","E",1,13,10
"Lt36Ls24beta7.05m-0.863","p(0,1,1)","B1",1,13,10
"Lt36Ls24beta7.05m-0.863","p(1,1,1)","E",1,10,10
"Lt36Ls24beta7.05m-0.867","p(0,0,0)","T1",1,17,10
"Lt36Ls24beta7.05m-0.867","p(0,0,1)","E",1,14,10
"Lt36Ls24beta7.05m-0.867","p(1,1,0)","B1",1,13,10
"Lt36Ls24beta7.05m-0.867","p(1,1,1)","E",1,9,10
"Lt36Ls36beta7.05m-0.863","p(0,0,0)","T1",1,12,10
"Lt36Ls36beta7.05m-0.863","p(0,0,1)","E",1,13,10
"Lt36Ls36beta7.05m-0.863","p(0,1,1)","B1",1,15,10
"Lt36Ls36beta7.05m-0.863","p(1,1,1)","E",1,12,10
"Lt36Ls36beta7.05m-0.867","p(0,0,0)","T1",1,16,10
"Lt36Ls36beta7.05m-0.867","p(0,0,1)","E",1,12,10
"Lt36Ls36beta7.05m-0.867","p(0,1,1)","B1",1,11,10
"Lt36Ls36beta7.05m-0.867","p(1,1,1)","E",1,11,10
"Lt24Ls14beta6.9m-0.92","p(0,0,1)","pi",1,11,10
"Lt24Ls14beta6.9m-0.92","p(0,1,1)","pi",1,11,10
"Lt32Ls16beta6.9m-0.92","p(0,0,1)","pi",1,15,10
"Lt32Ls16beta6.9m-0.92","p(1,1,0)","pi",1,15,10
"Lt32Ls20beta6.9m-0.92","p(0,0,1)","pi",1,15,10
"Lt32Ls20beta6.9m-0.92","p(0,1,1)","pi",1,15,10
"Lt32Ls20beta6.9m-0.92","p(1,1,1)","pi",1,15,10
"Lt32Ls24beta6.9m-0.92","p(0,0,1)","pi",1,15,10
"Lt32Ls24beta6.9m-0.92","p(1,1,0)","pi",1,15,10
"Lt32Ls24beta6.9m-0.92","p(1,1,1)","pi",1,15,10
"Lt36Ls16beta7.05m-0.863","p(0,0,1)","pi",1,17,10
"Lt36Ls20beta7.05m-0.863","p(0,0,1)","pi",1,17,10
"Lt36Ls20beta7.05m-0.863","p(0,1,1)","pi",1,17,10
"Lt36Ls20beta7.05m-0.863","p(1,1,1)","pi",1,17,10
"Lt36Ls24beta7.05m-0.863","p(0,0,1)","pi",1,17,10
"Lt36Ls24beta7.05m-0.863","p(0,1,1)","pi",1,17,10
"Lt36Ls24beta7.05m-0.863","p(1,1,1)","pi",1,17,10
"Lt36Ls36beta7.05m-0.863","p(0,0,1)","pi",1,17,10
"Lt36Ls36beta7.05m-0.863","p(0,1,1)","pi",1,17,10
"Lt36Ls36beta7.05m-0.863","p(1,1,1)","pi",1,17,10
"Lt36Ls16beta7.05m-0.867","p(0,0,1)","pi",1,17,10
"Lt36Ls24beta7.05m-0.867","p(0,0,1)","pi",1,17,10
"Lt36Ls24beta7.05m-0.867","p(1,1,0)","pi",1,17,10
"Lt36Ls24beta7.05m-0.867","p(1,1,1)","pi",1,17,10
"Lt36Ls36beta7.05m-0.867","p(0,0,1)","pi",1,17,10
"Lt36Ls36beta7.05m-0.867","p(0,1,1)","pi",1,17,10
"Lt36Ls36beta7.05m-0.867","p(1,1,1)","pi",1,17,10
"Lt24Ls14beta6.9m-0.92","p(0,0,0)","pi",1,11,10
