name,irrep,tmin1,tmax1,tmin2,tmax2,t0,deriv,gevp,symmetrise,average_equivalent_momenta
"Lt24Ls14beta6.9m-0.92/p(0,0,1)","A1",2,11,2,10,0,true,false,true,true
"Lt24Ls14beta6.9m-0.92/p(0,1,1)","A1",2,11,2,8,0,true,false,true,true
"Lt32Ls16beta6.9m-0.92/p(0,0,1)","A1",2,15,2,15,0,true,false,true,true
"Lt32Ls16beta6.9m-0.92/p(1,1,0)","A1",2,13,2,13,0,true,false,true,true
"Lt32Ls24beta6.9m-0.92/p(0,0,1)","A1",2,15,3,12,0,true,false,true,true
"Lt32Ls24beta6.9m-0.92/p(1,1,0)","A1",2,15,2,14,0,true,false,true,true
"Lt32Ls24beta6.9m-0.92/p(1,1,1)","A1",2,15,2,15,0,true,false,true,true
"Lt36Ls16beta7.05m-0.863/p(0,0,1)","A1",3,13,3,11,0,true,false,true,true
"Lt36Ls16beta7.05m-0.867/p(0,0,1)","A1",4,13,3,12,0,true,false,true,true
"Lt36Ls24beta7.05m-0.863/p(0,0,1)","A1",2,17,2,14,0,true,false,true,true
"Lt36Ls24beta7.05m-0.863/p(0,1,1)","A1",2,13,2,13,0,true,false,true,true
"Lt36Ls24beta7.05m-0.863/p(1,1,1)","A1",2,16,2,12,0,true,false,true,true
"Lt36Ls24beta7.05m-0.867/p(0,0,1)","A1",2,14,2,10,0,true,false,true,true
"Lt36Ls24beta7.05m-0.867/p(1,1,0)","A1",2,12,2,11,0,true,false,true,true
"Lt36Ls24beta7.05m-0.867/p(1,1,1)","A1",2,12,2,10,0,true,false,true,true
"Lt36Ls36beta7.05m-0.863/p(0,0,1)","A1",2,16,2,16,0,true,false,true,true
"Lt36Ls36beta7.05m-0.863/p(0,1,1)","A1",2,17,2,17,0,true,false,true,true
"Lt36Ls36beta7.05m-0.863/p(1,1,1)","A1",3,13,3,11,0,true,false,true,true
"Lt36Ls36beta7.05m-0.867/p(0,0,1)","A1",3,9,2,14,0,true,false,true,true
"Lt36Ls36beta7.05m-0.867/p(0,1,1)","A1",3,16,2,13,0,true,false,true,true
"Lt36Ls36beta7.05m-0.867/p(1,1,1)","A1",2,15,2,12,0,true,false,true,true
