name,p,irrep,tmin1,tmax1,tmin2,tmax2,t0,deriv,gevp,symmetrise,use3x3,Nmax
"Lt24Ls14beta6.9m-0.92","p(0,0,1)","A1",8,10,7,10,0,true,false,true,true,2
"Lt24Ls14beta6.9m-0.92","p(0,1,1)","A1",8,11,8,11,0,true,false,true,false,2
"Lt32Ls16beta6.9m-0.92","p(0,0,1)","A1",9,14,9,14,0,true,false,true,true,2
"Lt32Ls16beta6.9m-0.92","p(1,1,0)","A1",7,13,7,11,0,true,false,true,true,2
"Lt32Ls20beta6.9m-0.92","p(0,0,1)","A1",9,14,9,14,0,true,false,true,true,2
"Lt32Ls20beta6.9m-0.92","p(0,1,1)","A1",7,13,7,11,0,true,false,true,true,2
"Lt32Ls20beta6.9m-0.92","p(1,1,1)","A1",7,13,7,11,0,true,false,true,true,2
"Lt32Ls24beta6.9m-0.92","p(0,0,1)","A1",9,14,9,14,0,true,false,true,true,2
"Lt32Ls24beta6.9m-0.92","p(1,1,0)","A1",9,14,9,14,0,true,false,true,true,2
"Lt32Ls24beta6.9m-0.92","p(1,1,1)","A1",7,14,6,13,0,true,false,true,true,2
"Lt36Ls16beta7.05m-0.863","p(0,0,1)","A1",3,17,3,12,0,true,false,true,true,10
"Lt36Ls16beta7.05m-0.867","p(0,0,1)","A1",4,17,3,13,0,true,false,true,true,10
"Lt36Ls20beta7.05m-0.863","p(0,0,1)","A1",3,17,3,14,0,true,false,true,true,10
"Lt36Ls20beta7.05m-0.863","p(0,1,1)","A1",3,17,3,14,0,true,false,true,true,10
"Lt36Ls20beta7.05m-0.863","p(1,1,1)","A1",3,17,3,14,0,true,false,true,true,10
"Lt36Ls24beta7.05m-0.863","p(0,0,1)","A1",3,17,3,14,0,true,false,true,true,10
"Lt36Ls24beta7.05m-0.863","p(0,1,1)","A1",3,15,3,12,0,true,false,true,true,10
"Lt36Ls24beta7.05m-0.863","p(1,1,1)","A1",3,16,3,15,0,true,false,true,true,10
"Lt36Ls24beta7.05m-0.867","p(0,0,1)","A1",3,14,3,12,0,true,false,true,true,10
"Lt36Ls24beta7.05m-0.867","p(1,1,0)","A1",3,13,3,11,0,true,false,true,true,10
"Lt36Ls24beta7.05m-0.867","p(1,1,1)","A1",3,13,3,12,0,true,false,true,true,10
"Lt36Ls36beta7.05m-0.863","p(0,0,1)","A1",3,17,3,12,0,true,false,true,true,10
"Lt36Ls36beta7.05m-0.863","p(0,1,1)","A1",3,17,3,14,0,true,false,true,true,10
"Lt36Ls36beta7.05m-0.863","p(1,1,1)","A1",4,16,3,15,0,true,false,true,true,10
"Lt36Ls36beta7.05m-0.867","p(0,0,1)","A1",5,14,3,14,0,true,false,true,true,10
"Lt36Ls36beta7.05m-0.867","p(0,1,1)","A1",4,16,3,13,0,true,false,true,true,10
"Lt36Ls36beta7.05m-0.867","p(1,1,1)","A1",3,16,3,13,0,true,false,true,true,10
