name,p,irrep,tmin1,tmax1,tmin2,tmax2,t0,deriv,gevp,symmetrise,use3x3,Nmax
"Lt24Ls14beta6.9m-0.92","p(0,0,1)","A1",8,10,7,10,0,true,false,false,true,3
"Lt24Ls14beta6.9m-0.92","p(0,1,1)","A1",6,9,6,9,0,true,false,false,false,3
"Lt32Ls16beta6.9m-0.92","p(0,0,1)","A1",7,11,7,10,0,true,false,false,true,3
"Lt32Ls16beta6.9m-0.92","p(1,1,0)","A1",7,13,7,11,0,true,false,false,true,3
"Lt32Ls20beta6.9m-0.92","p(0,0,1)","A1",9,14,9,14,0,true,false,false,true,3
"Lt32Ls20beta6.9m-0.92","p(0,1,1)","A1",7,13,8,12,0,true,false,false,true,4
"Lt32Ls20beta6.9m-0.92","p(1,1,1)","A1",7,13,7,11,0,true,false,false,true,3
"Lt32Ls24beta6.9m-0.92","p(0,0,1)","A1",7,12,7,11,0,true,false,false,true,3
"Lt32Ls24beta6.9m-0.92","p(1,1,0)","A1",7,12,7,13,0,true,false,false,true,3
"Lt32Ls24beta6.9m-0.92","p(1,1,1)","A1",7,12,8,11,0,true,false,false,true,3
"Lt36Ls16beta7.05m-0.863","p(0,0,1)","A1",4,13,5,10,0,true,false,false,true,3
"Lt36Ls16beta7.05m-0.867","p(0,0,1)","A1",4,17,3,13,0,true,false,false,true,3
"Lt36Ls20beta7.05m-0.863","p(0,0,1)","A1",6,15,6,12,0,true,false,false,true,3
"Lt36Ls20beta7.05m-0.863","p(0,1,1)","A1",7,16,8,12,0,true,false,false,true,3
"Lt36Ls20beta7.05m-0.863","p(1,1,1)","A1",7,10,7,10,0,true,false,false,true,5
"Lt36Ls24beta7.05m-0.863","p(0,0,1)","A1",7,14,7,13,0,true,false,false,true,5
"Lt36Ls24beta7.05m-0.863","p(0,1,1)","A1",6,15,6,11,0,true,false,false,true,4
"Lt36Ls24beta7.05m-0.863","p(1,1,1)","A1",6,14,7,11,0,true,false,false,true,3
"Lt36Ls24beta7.05m-0.867","p(0,0,1)","A1",5,13,6,10,0,true,false,false,true,5
"Lt36Ls24beta7.05m-0.867","p(1,1,0)","A1",5,10,6,11,0,true,false,false,true,4
"Lt36Ls24beta7.05m-0.867","p(1,1,1)","A1",6,11,6,9,0,true,false,false,true,3
"Lt36Ls36beta7.05m-0.863","p(0,0,1)","A1",6,14,6,12,0,true,false,false,true,3
"Lt36Ls36beta7.05m-0.863","p(0,1,1)","A1",6,13,6,13,0,true,false,false,true,6
"Lt36Ls36beta7.05m-0.863","p(1,1,1)","A1",6,11,6,12,0,true,false,false,true,4
"Lt36Ls36beta7.05m-0.867","p(0,0,1)","A1",6,12,7,13,0,true,false,false,true,3
"Lt36Ls36beta7.05m-0.867","p(0,1,1)","A1",7,11,8,12,0,true,false,false,true,5
"Lt36Ls36beta7.05m-0.867","p(1,1,1)","A1",6,15,6,11,0,true,false,false,true,7
