ensPirrep;beta;m0;mpi;ld;num_lv
Alexandrou0p(0,0,0)T1;0.0;0.0;0.182950;0.497200;False;1
Alexandrou1p(0,0,0)T1;0.0;0.0;0.182950;0.497200;False;1
Alexandrou2p(0,0,0)T1;0.0;0.0;0.182950;0.497200;False;1
Alexandrou3p(0,0,1)A1;0.0;0.0;0.182950;0.497200;False;1
Alexandrou4p(0,0,1)A1;0.0;0.0;0.182950;0.497200;False;1
Alexandrou5p(0,0,1)A1;0.0;0.0;0.182950;0.497200;False;1
Alexandrou6p(0,0,1)E;0.0;0.0;0.182950;0.497200;False;1
Alexandrou7p(0,0,1)E;0.0;0.0;0.182950;0.497200;False;1
Alexandrou8p(1,1,0)A1;0.0;0.0;0.182950;0.497200;False;1
Alexandrou9p(1,1,0)A1;0.0;0.0;0.182950;0.497200;False;1
Alexandrou10p(1,1,0)B1;0.0;0.0;0.182950;0.497200;False;1
Alexandrou11p(1,1,0)B1;0.0;0.0;0.182950;0.497200;False;1
Alexandrou12p(1,1,0)B1;0.0;0.0;0.182950;0.497200;False;1
Alexandrou13p(1,1,0)B2;0.0;0.0;0.182950;0.497200;False;1
Alexandrou14p(1,1,0)B2;0.0;0.0;0.182950;0.497200;False;1
Alexandrou15p(1,1,0)B2;0.0;0.0;0.182950;0.497200;False;1
Alexandrou16p(1,1,1)A1;0.0;0.0;0.182950;0.497200;False;1
Alexandrou17p(1,1,1)A1;0.0;0.0;0.182950;0.497200;False;1
Alexandrou18p(1,1,1)A1;0.0;0.0;0.182950;0.497200;False;1
Alexandrou19p(1,1,1)E;0.0;0.0;0.182950;0.497200;False;1
Alexandrou20p(1,1,1)E;0.0;0.0;0.182950;0.497200;False;1
Fu_Wang21p(0,0,0)T1;0.0;0.0;0.128722;0.412571;False;1
Fu_Wang22p(0,0,1)A1;0.0;0.0;0.128722;0.412571;False;1
Fu_Wang23p(0,0,1)A1;0.0;0.0;0.128722;0.412571;False;1
Fu_Wang24p(1,1,0)A1;0.0;0.0;0.128722;0.412571;False;1
Fu_Wang25p(1,1,0)A1;0.0;0.0;0.128722;0.412571;False;1
Fu_Wang26p(1,1,1)A1;0.0;0.0;0.128722;0.412571;False;1
Fu_Wang27p(1,1,1)A1;0.0;0.0;0.128722;0.412571;False;1
Fu_Wang28p(0,0,2)A1;0.0;0.0;0.128722;0.412571;False;1
Fu_Wang29p(0,0,2)A1;0.0;0.0;0.128722;0.412571;False;1
Lang_Prelovsek30p(0,0,0)T1;0.0;0.0;0.167020;0.497200;False;1
Lang_Prelovsek31p(0,0,0)T1;0.0;0.0;0.167020;0.497200;False;1
Lang_Prelovsek32p(0,0,1)A1;0.0;0.0;0.192630;0.497200;False;1
Lang_Prelovsek33p(0,0,1)A1;0.0;0.0;0.192630;0.497200;False;1
Lang_Prelovsek34p(1,1,0)A1;0.0;0.0;0.175066;0.497200;False;1
Lang_Prelovsek35p(1,1,0)A1;0.0;0.0;0.175066;0.497200;False;1
Plymouth36p(0,0,1)A1;0.0;0.0;0.205000;0.438000;False;1
Plymouth37p(0,0,1)A1;0.0;0.0;0.205000;0.438000;False;1
Plymouth38p(1,1,0)A1;0.0;0.0;0.205000;0.438000;False;1
Plymouth39p(1,1,0)A1;0.0;0.0;0.205000;0.438000;False;1
Plymouth40p(0,0,1)A1;0.0;0.0;0.226000;0.488000;False;1
Plymouth41p(0,0,1)A1;0.0;0.0;0.226000;0.488000;False;1
Plymouth42p(1,1,0)A1;0.0;0.0;0.226000;0.488000;False;1
